Roles,Companies,Locations,Experience,Salaries,Skills
Commercial Banking Portfolio Associate,Wells Fargo,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Portfolio Management, Commercial Banking, Risk Management, Financial Ratios, Cash Flow Assessment, Credit Analysis, Financial Statements, Commercial"
Us Voice Process (Freshers - 3 Yrs Experience) - Mumbai,Trigent Software Private Limited,Mumbai (All Areas),0-3 Yrs,Not Disclosed Yet,"Voice Process, International Voice Process, International Bpo, International Voice, Us Voice Process, Process, International, Voice"
Customer Service Officer - Inbound Process | Top Private Bank | Thane,Mehr Capital,"Thane, Dombivli, Mumbai (All Areas)(Ghodbunder Road +18)",0-5 Yrs,3-4.5 Lacs Pa,"Graduate, Bcom, Upsell, Inbound Sales, Customer Service, Cross Selling, Broking, Cross Sales"
Credit Manager-Sbe-Small Business Enterprise-Credit,Kotak Life Insurance,India,0-5 Yrs,Not Disclosed Yet,"Business Development, Corporate Sales, Sales, Underwriting, Enterprise Business, Enterprise Sales, Channel Sales, Marketing"
Platform Solutions - Transaction Banking Operations,Goldman Sachs,Bengaluru,0-2 Yrs,Not Disclosed Yet,"Change Management, Claims, Payment Processing, Money Market, Reconciliation, Cash Management, Account Management, Investment Banking"
Operations Resilience Coordinator,Deutsche Bank,Pune,0 Yrs,Not Disclosed Yet,"Relationship Building, Auditing, Staff Development, Team Leadership, Operational Risk Management, Project Management, Information Security, Financial Services"
Fresher 12Th Pass Sales Officer Hiring,Hdb Financial Services,Durgapur(Benachity),0-1 Yrs,1-1.25 Lacs Pa,"Banking Sales, Loan Sales, Field Sales, Field Work, Rural Sales, Lending, Field Marketing, Financial Sales"
Nbfc And Small Finance Companies Hiring For Operation Role,Pvr India,"Chengalpattu, Chennai, Vellore",0 Yrs,3.75-5.5 Lacs Pa,"Freshers, Banking Job, Bank Accounting, Banking Sales, Accounting, Sales, Finance, Hiring"
Fresher Sales Officer,Hdb Financial Services,"Ariyalur, Salem, Tiruchirapalli",0-3 Yrs,1.75-3 Lacs Pa,"Banking Process, Banking Sales, Banking Products, Bank Loan, Field Sales, Outside Sales, Banking Operations, Bfsi Sales"
Programme Officer- Climate - Energy Portfolio,Ananta Centre,New Delhi,0-2 Yrs,Not Disclosed Yet,"Administration, Leadership Development, Excel, Data Management, Email Marketing, Media Strategy, Social Media, Director"
Associate Operations Processor,Wells Fargo,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Operations Support, Data Processing, Clerical Operations, Data Entry, Operations, Operations Processer, Processor, Operational Support"
Associate Operations Processor,Wells Fargo,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Operations Support, Data Processing, Clerical Operations, Operations Processor, Data Entry, Operational Support, Data, Operations"
Alternative Fund Services - Private Equity - Senior Team Member,Jpmorgan Chase Bank,Bengaluru,0-2 Yrs,Not Disclosed Yet,"Financial Statements, Fund Accounting, Journal Entries, Accounting, Analytical, Reconciliation, Fund Administration, Balance Sheet"
Hiring: Vkyc Officer Private Bank Thane,Hy Fly Consultancy,"Thane, Dombivli, Mumbai (All Areas)(Ghodbunder Road +9)",0-5 Yrs,1.5-3.5 Lacs Pa,"Inbound, Inbound Process, Cca, Customer Service, Banking Process, Telesales, Solving Queries, Inbound Calls"
Associate Engineer I - Flight Operations,Asteria Aerospace,Bengaluru,0-2 Yrs,Not Disclosed Yet,"Mining, Pilot, Software Design, Operations Manager, Compliance, Aerospace, Hardware Design, Inspection"
Ca Fresher - Risk Analyst-Group Risk Management,Hdfc Bank,Mumbai (All Areas)(Worli Seaface +1),0 Yrs,Not Disclosed Yet,"Regulatory Guidelines, Risk Assessment, Risk Management, Risk Monitoring, Risk Analysis, Assessment, Management, Regulatory"
Associate Operations Processor,Wells Fargo,Hyderabad,0-1 Yrs,Not Disclosed Yet,"Operations Support, Document Processing, Clerical Support, Office Administration, Routine Operations, Filing Systems, Workflow Support, Records Management"
"Teacher Librarian - The Shriram Millennium School, Sector 41, Noida",The Shri Ram Academy,Noida,0-4 Yrs,Not Disclosed Yet,"Procurement, Administration, Interpersonal Skills, C, Cyber Security, Library Management, Ms Office Tools, Budgeting"
Associate Fraud & Claims Operations Representative,Wells Fargo,Bengaluru,0-2 Yrs,Not Disclosed Yet,"Claims Operations, Fraud Prevention, Fraud Operations, Customer Service, Communication Skills, Customer Support, Claims, Fraud"
Associate Fraud & Claims Operations Representative,Wells Fargo,Hyderabad,0-1 Yrs,Not Disclosed Yet,"Claims Operations, Claims Processing, Customer Service, Fraud Operations Management, Fraud Management, Customer Support, Processing, Management"
Whs Officer,Amazon,Gurugram,0-4 Yrs,Not Disclosed Yet,"Analytical Skills, Data Analysis, Leadership Development, Industrial Safety, Compliance, Process Improvement, Safety Engineering, Environment Health Safety"
Associate Fraud & Claims Operations Representative,Wells Fargo,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Claims Operations, Customer Relationship, Fraud Operations, Customer Interaction, Customer Service, Relationship, Operations, Fraud"
Associate Fraud & Claims Operations Representative,Wells Fargo,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Customer Service, Communication Skills, Fraud Operations, Customer Interaction, Claims Operations, Claims Processing, Customer Experience, Process"
Asset & Wealth Management Operations,Goldman Sachs,Bengaluru,0-3 Yrs,Not Disclosed Yet,"Computer Science, Wealth Management, Financial Planning, Html, Data Integrity, Investment Banking, Investment Management, Test Cases"
"Dws – Corporate Actions - Operations Specialist, As",Deutsche Bank,Pune,0-2 Yrs,Not Disclosed Yet,"Collateral Management, Process Improvement, Investment Operations, Trade, Trade Operations, Asset Management, Accounting, Performance Improvement"
Fresher Interviews At Jaipur For All Rajasthan,Muthoot Finance,"Ajmer, Jaipur, Alwar",18 Jul - 27 Jul,3-3.5 Lacs Pa,"Sales, Interviewing"
Online Tutors - Math / Science / English - Work From Home Position,Jayas Academy,Remote,0-5 Yrs,4-8 Lacs Pa,"Teaching, Education, Mathematics, Science, English, Academics, Tutoring, Online Tutoring"
Internal Audit Executive,Kpmg India,"Gurugram, Bengaluru",0-4 Yrs,Not Disclosed Yet,"Enterprise Risk Management, Business Process, Manager Internal Audit, Cisa, Corporate Governance, Revenue Assurance, Risk Assessment, Risk Consulting"
Ey Gds - Core Audit- Ca Freshers,Ey,Hybrid - Bengaluru,0-1 Yrs,Not Disclosed Yet,"Statutory Audit, Cpa, External Audit, Ca, Acca, Stat Audit, Us Gaap, Cma"
Jaipur Walk-In Drive For Human Resource Roles - 18Th July,Genpact,Jaipur,2025-07-18 00:00:00,Not Disclosed Yet,"Offer Negotiation, Offer Generation, Joining Formalities, Hr, Ta, Human Resource, Onboarding, Recruitment"
Analyst,Kaplan,Bengaluru,0-4 Yrs,Not Disclosed Yet,"Data Analysis, Automation, Business Analysis, Strategic Planning, Pricing Strategy, Market Research, Workflow, Operations"
International Chat Process Executive,Teleperformance (Tp),Gurugram,0-2 Yrs,2.5-3.75 Lacs Pa,"Bpo, English, International Process, Chat Process, Process, International Chat Process, Chat, International"
Cec Officer-Outbound-Digital Banking - Contact Centre Outbound,Kotak Life Insurance,Noida,0-4 Yrs,Not Disclosed Yet,"Customer Service, Talent A, Business Banking, Casa, Retail Liabilities, Relationship Management, Sales, Customer Acquisition"
Field Sales Executive Freshers/Experienced Karnataka,2Coms,"Mangaluru, Mysuru, Bengaluru",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Cold Calling, Channel Sales, Outside Sales, Retail Sales, Business Development, Engineering, Sales Support"
"Corporate Credit / Investment Specialist, Associate",Goldman Sachs,Bengaluru,0-4 Yrs,Not Disclosed Yet,"Business Process, Market Analysis, Wealth Management, Fixed Income, Project Management, Investment Banking, Corporate Credit, Investment Management"
Fresher Graduate - Graduate Engineer Trainee,Kirloskar Brothers Limited,Bangalore Rural,0-1 Yrs,Not Disclosed Yet,"Sales And Marketing, Entry Level, Fresher, Field Work, Field, Marketing, Training, Sales"
Cec Officer-Outbound-Digital Banking - Contact Centre Outbound,Kotak Life Insurance,Thane,0-4 Yrs,Not Disclosed Yet,"Customer Service, Business Banking, Casa, Retail Liabilities, Relationship Management, Sales, Customer Acquisition, Branch Banking"
Captioner - International Voice Process,Teleperformance (Tp),Gurugram,0-2 Yrs,2.5-3.75 Lacs Pa,"Bpo, English, Bpo Voice, International Voice Process, International Voice, Voice Process, Process, Voice"
"It Support Assoc Ii, It Services",Amazon,Bengaluru,0-1 Yrs,Not Disclosed Yet,"Unix, Networking, Linux, Helpdesk, Active Directory, Ccna, Mcse, Microsoft"
Laboratory Technician,Brunel,Bengaluru,0-5 Yrs,Not Disclosed Yet,"Plant Operations, Manager Quality Assurance, Chemical, Compliance, Standard Operating Procedures, Proposal Management, Manager Quality Control, Analytical Instruments"
Analyst - Compliance Review - Legal,Kpmg India,Bengaluru,0-2 Yrs,Not Disclosed Yet,"Legal Compliance, Corporate Governance, Compliance, Labour Laws, Management Consulting, Risk Consulting, Risk Management, Operations"
Alternative Fund Services,Jpmorgan Chase Bank,Bengaluru,0-4 Yrs,Not Disclosed Yet,"Process Audit, Financial Statements, Fund Accounting, Journal Entries, Analytical, Reconciliation, Fund Administration, Balance Sheet"
Business Development Executive,Hyperdrive Infotech,Bengaluru,0-3 Yrs,Not Disclosed Yet,"Retail, Interpersonal Skills, Sales, Erp Executive, Business Development Executive, Erp Sales, Retail Business, Development"
Lead Software Engineer,Jpmorgan Chase Bank,Bengaluru,0-5 Yrs,Not Disclosed Yet,"Backend, Architecture, Lead Software, Coding, Cloud, Incident Management, Application Software, Distribution System"
Te Oracle/ Consultant,Kpmg Assurance And Consulting Services Llp,"Gurugram, Bengaluru, Mumbai (All Areas)",0-2 Yrs,Not Disclosed Yet,"Oracle Financials, Finance, Process Improvement, Technical Accounting, Communication Skills, Financial Technology, Data Analysis, Erp Systems"
Analyst - Sustainability & Emerging Assurance,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Cisa, Pharma, Analytical, Agile, Healthcare"
Audit Assistant-External Audit-Deloitte Usi,Deloitte Consulting,"Hybrid - Hyderabad, Gurugram, Bengaluru",0-3 Yrs,Not Disclosed Yet,"Auditing, Statutory Audit, External Audit, Statutory"
Assistant Manager - Financial Due Diligence,Deloitte Consulting,New Delhi,0-2 Yrs,Not Disclosed Yet,"Transaction Services, Financial Analysis, Analytical, Financial Due Diligence, Gaap, Agile, Investment Banking, Ifrs"
Assistant Manager - Financial Due Diligence,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Transaction Services, Financial Analysis, Analytical, Financial Due Diligence, Gaap, Agile, Investment Banking, Ifrs"
Junior Associate - Sourcing & Procurement,Deloitte Consulting,Hyderabad,0-1 Yrs,Not Disclosed Yet,"Bpo, Procurement, Supply Chain, Claims, Financial Reporting, Invoice Processing, Consulting, Customer Support"
Executive,Kpmg India,Chennai,0-2 Yrs,Not Disclosed Yet,"Manager Internal Audit, Erp, Assurance, Sap, Cisa, Risk Assessment, Project Management, Risk Management"
Field Sales Executive Freshers/Experienced (Uttarakhand),2Coms,Dehradun,0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Enterprise Sales, Cold Calling, Channel Sales, Outside Sales, Retail Sales, Business Development, Engineering"
"M&A Transaction Diligence, Execution & Reporting - Assistant Manager",Deloitte Consulting,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Transaction Services, Financial Analysis, Analytical, Gaap, Agile, Investment Banking, Ifrs, Mergers And Acquisitions"
"M&A Transaction Diligence, Execution & Reporting - Assistant Manager",Deloitte Consulting,Chennai,0-2 Yrs,Not Disclosed Yet,"Transaction Services, Financial Analysis, Analytical, Gaap, Agile, Investment Banking, Ifrs, Mergers And Acquisitions"
Senior Analyst - Award Shows Or Events T&C Knowledge,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Cisa, Outsourcing, Seo, Operations, Analytics"
"Am - Fdd(Fs) M&A Transaction Diligence, Execution & Reporting",Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Transaction Services, Financial Analysis, Analytical, Gaap, Agile, Investment Banking, Ifrs, Mergers And Acquisitions"
Assistant Manager - Fdd(Fs) - M&A Transaction Diligence,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Transaction Services, Financial Analysis, Analytical, Gaap, Agile, Investment Banking, Ifrs, Mergers And Acquisitions"
Field Sales Executive Freshers/Experienced (Punjab ),2Coms,"Jalandhar, Chandigarh, Zirakpur",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Enterprise Sales, Cold Calling, Channel Sales, Outside Sales, Retail Sales, Business Development, Engineering"
"Transportation Specialist, Crs",Amazon,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore",0-7 Yrs,Not Disclosed Yet,"Supply Chain, Computer Science, Automation, Network Operations, Analytical, Flex, Scheduling, Forecasting"
Senior Analyst - Award Shows Or Events T&C Knowledge,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Cisa, Analytical, Outsourcing, Seo, Analytics"
Fresher Graduate - Graduate Engineer Trainee,Kirloskar Brothers Limited,Belgaum,0-1 Yrs,Not Disclosed Yet,"Sales And Marketing, Entry Level, Fresher, Field Work, Sales, Marketing, Field, Training"
Financial Analyst 2,Eclerx,Pune(Hinjewadi Phase 2),0 Yrs,Not Disclosed Yet,"Finance, Graduate Fresher, Financial Analysis, Aml Kyc, Investment Banking, Investment Banking Operations, Kpo, Imarticus Learner"
Customer Support Executive,Bpo,"New Delhi, Gurugram, Delhi / Ncr",0-5 Yrs,2.5-4.5 Lacs Pa,"Communication Skills, Bpo, Blended Process, Customer Service, Semi Voice, Voice Process, Non Voice, Email Process"
Social Media Intern,Kgk Infotech,Bkc,0-1 Yrs,"50, 000-1.25 Lacs Pa","Digital Media, Social Media Campaigns, Pinterest, Instagram, B2B Digital Marketing, Linkedin, Social Media, Youtube"
Ai & Ml Trainer (With Expertise In Gen Ai & Content Creation),Maa Academy,Bengaluru,0-2 Yrs,3.5-4 Lacs Pa,"Artificial Intelligence, Tensorflow, Matplotlib, Generative Ai, Natural Language Processing, Al, Machine Learning, Deep Learning"
Field Sales Executive Freshers/Experienced (Haryana),2Coms,"Rohtak, Faridabad, Gurugram",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Channel Sales, Retail Sales, Business Development, Engineering, Sales Support, Corporate Sales, Sales"
"Process Associate Ba, Bcom, Bba Graduates Freshers",Hcltech,Chennai,2025-07-18 00:00:00,Not Disclosed Yet,"Fresher, Good English Communication, Communication Skills, English, Process"
"Process Associate Ba, Bcom, Bba Graduates Freshers",Hcltech,Chennai,18 Jul - 19 Jul,Not Disclosed Yet,"Fresher, Good English Communication, English, Communication Skills, Process"
Field Sales Executive Freshers/Experienced (Uttar Pradesh),2Coms,"Ghaziabad, Meerut",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Enterprise Sales, Cold Calling, Channel Sales, Outside Sales, Retail Sales, Business Development, Engineering"
Field Sales Executive Freshers/Experienced Gujarat,2Coms,"Ahmedabad, Surat, Vadodara",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Channel Sales, Retail Sales, Business Development, Engineering, Sales Support, Corporate Sales, Sales"
Analyst | Internal Audit | Mumbai | Controls Assurance,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Project Management, Analytical, Consulting, Outsourcing, Risk Management"
Consultant - Infra,Deloitte Consulting,New Delhi,0-7 Yrs,Not Disclosed Yet,"Project Management, Manager Program Management, Financial Management, Infrastructure, Management, Project Delivery, Advisory, Monitoring"
Analyst | Internal Audit | Chennai | Controls Assurance,Deloitte Consulting,Chennai,0-2 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Project Management, Analytical, Consulting, Outsourcing, Risk Management"
Legal Trainee,Iifl Home Finance,Gurugram,0 Yrs,Not Disclosed Yet,"Legal, Internship, Intern, Law, Sarfaesi, Training"
Customer Care Executive,Business Process Outsourcing,Gurugram,0-3 Yrs,1.5-3 Lacs Pa,"Customer Care, Handling Customer Queries, Inbound Customer Service, Customer Service, Bpo Customer Service, Solving Queries, Convincing Power, Voice Process"
Deputy Director - Global Network Delivery,Pepsico,Hyderabad,0 Yrs,Not Disclosed Yet,"Project Management, Presentation Skills, Pmp, Service Delivery, It Infrastructure, Lathe, It Services, Production"
Assurance - Controls Assurance - Executive-Internal Audit,Deloitte Consulting,Mumbai,0-3 Yrs,Not Disclosed Yet,"Enterprise Risk Management, Business Process, Manager Internal Audit, Erp, Assurance, Cisa, Senior Analyst, Relationship Building"
Manager | Tmt | Delhi | Customer Strategy & Design,Deloitte Consulting,New Delhi,0-1 Yrs,Not Disclosed Yet,"Telecom, Data Analysis, Penetration, Product Pricing, Project Management, Consulting, Agile, Telecommunication"
Manager - Finance,Pepsico,Hyderabad,0 Yrs,Not Disclosed Yet,"Cleansing, Data Quality, Financial Management, Cma, Ca, Financial Analysis, Accounts Payable, Forecasting"
Senior Analyst | Internal Audit | Mumbai | Controls Assurance,Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Project Management, Analytical, Consulting, Outsourcing, Risk Management"
T&T-Cyber-D&R-Incident Response & Handling-Am,Deloitte Consulting,Mumbai,0-14 Yrs,Not Disclosed Yet,"Unix, Networking, Linux, Information Security, Analytical, Trend Analysis, Dns, Incident Management"
Assistant Manager | M&A Tax | Mumbai | Mergers & Acquisitions (Tax),Deloitte Consulting,Mumbai,0-2 Yrs,Not Disclosed Yet,"Nse, Outbound, Due Diligence, Income Tax, Direct Tax, Analytical, Consulting, Roc"
Srt - Tder Icc - Am - Spa,Deloitte Consulting,Mumbai,0-4 Yrs,Not Disclosed Yet,"Due Diligence, Post Merger Integration, Transaction Services, Analytical, Finance, Agile, Corporate Finance, Capital Market"
Srt - Dt&Pmi Icc - Dm - I&S,Deloitte Consulting,New Delhi,0-10 Yrs,Not Disclosed Yet,"Supply Chain, Procurement, Change Management, Analytical, Management Consulting, Cash Flow, Risk Management, Analytics"
Training Executive,Reliance Industries (Ril),"Navi Mumbai, Mumbai (All Areas)",0-3 Yrs,Not Disclosed Yet,"E-Learning, Lms, Project Management, Articulate, Training Coordination, Instructional Design, Training Need Analysis, Monitoring And Evaluation"
Executive - Internal Audit,Kpmg India,Hyderabad,0-3 Yrs,Not Disclosed Yet,"Business Process, Enterprise Risk Management, Manager Internal Audit, Corporate Governance, Analytical, Risk Assessment, Management Consulting, Gap Analysis"
Field Sales Executive Freshers/Experienced (Goa),2Coms,Panaji,0-5 Yrs,7-17 Lacs Pa,"Insurance, Channel Sales, Direct Marketing, Business Development, Engineering, Sales Support, Corporate Sales, Sales"
Field Sales Executive Freshers/Experienced Maharashtra,2Coms,"Nagpur, Nashik, Amravati",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Channel Sales, Direct Marketing, Retail Sales, Business Development, Engineering, Sales Support, Sales"
Ienergizer Gurgaon Needs Tamil Speaking Experts Salary - 28K Ctc,Ienergizer,Gurugram,18 Jul - 27 Jul,1-3.5 Lacs Pa,"Tamil, Tamil Voice Process, Voice, Process, Voice Process, Salary"
Field Sales Executive Freshers/Experienced (Tamil Nadu),2Coms,"Hosur, Tirunelveli, Chennai",0-5 Yrs,1-2.5 Lacs Pa,"Insurance, Enterprise Sales, Area Sales, Cold Calling, Channel Sales, Outside Sales, Retail Sales, Business Development"
Ienergizer Is Hiring For Telugu Speaking Associates Salary - 25K Ctc,Ienergizer,Gurugram,18 Jul - 27 Jul,2-3 Lacs Pa,"Telugu, Salary, Hiring"
Assistant Manager - Internal Audit,Kpmg India,Gurugram,0-3 Yrs,Not Disclosed Yet,"Enterprise Risk Management, Business Process, Manager Internal Audit, Cisa, Corporate Governance, Revenue Assurance, Risk Assessment, Risk Consulting"
Cec Officer - Inbound - Digital Banking - Contact Centre Inbound,Kotak Life Insurance,Noida,0-4 Yrs,Not Disclosed Yet,"Recruitment, Joining Formalities, Life Cycle Management, Grievance Redressal, Training And Development, Inbound, Background Verification, Employee Communication"
Field Sales Executive,Lenskart,Bengaluru,0-5 Yrs,Not Disclosed Yet,"Sales, Field Sales, Sales Management, Sales Planning, Management, Planning, Field, Sales Executive Activities"
Field Sales Executive,Lenskart,Kapurthala,0-5 Yrs,Not Disclosed Yet,"Field Sales, Sales, Field Sales Executive, Customer Service, Communication Skills, Sales Executive Activities, Field"
Cec Officer - Inbound - Digital Banking - Contact Centre Inbound,Kotak Life Insurance,Thane,0-4 Yrs,Not Disclosed Yet,"Recruitment, Joining Formalities, Life Cycle Management, Grievance Redressal, Training And Development, Inbound, Background Verification, Employee Communication"
Opportunity Of 2025 Batch Resources : Ntt Data Noida,"Ntt Data, Inc.",Noida,0 Yrs,Not Disclosed Yet,"B.Com, Communication Skills, Fresher, B.B.A, Interpersonal Skills, Creative Skills, Verbal Communication, Public Speaking"
In_Analyst_Finance_Best Operations_Ifs_Gurgaon,Pwc Service Delivery Center,Gurugram,0-1 Yrs,Not Disclosed Yet,"Data Analysis, Financial Reporting, Financial Analysis, Financial Planning, Ifs, Budgeting, Risk Management, Forecasting"
Hiring For Bpo/Insurance Sales ..,Team Vertex Cosmos,Pune,16 Jul - 25 Jul,2-4.25 Lacs Pa,"Good English Communication, Customer Service, Insurance Sales, Bpo Sales, Voice Process, Sales, Hiring, English"
"Clearing And Settlement Analyst, Nct",Deutsche Bank,Bengaluru,0-3 Yrs,Not Disclosed Yet,"German, Investment Banking, German Language, German Translation, Finance, Settlements, Language Teaching, Team Management"
In_Specialist 2 _ Valuations_ Valuations _ Advisory _Hyderabad,Pwc Service Delivery Center,Hyderabad,0-2 Yrs,Not Disclosed Yet,"Financial Restructuring, Automation, Excel, Bloomberg, Balance Sheet Analysis, Corporate Finance, Financial Modelling, Internship"
"Clearing And Settlement Analyst, As",Deutsche Bank,Bengaluru,0-3 Yrs,Not Disclosed Yet,"German, Investment Banking, German Language, German Translation, Finance, Settlements, Language Teaching, Team Management"
"Clearing Analyst - Emea – Listed Derivatives, Nct",Deutsche Bank,Bengaluru,0-5 Yrs,Not Disclosed Yet,"Capital Market, Derivatives, Pc, Desktop, Finance, Financial Analysis, Trading, Ab"
Data Scientist -Permanent Opportunity(Remote),Aie Software,Remote,0-5 Yrs,Not Disclosed Yet,"Nlp, Pyton, Deep Learning, Sql, Natural Language Processing, Remote, Data"
Data Scientist,Yes Bank,Mumbai (All Areas),0-5 Yrs,Not Disclosed Yet,"Data Science, Python, Model Development, Data Analysis, Statistical Modeling, Data, Science, Development"
Data Scientist,Pepsico,Gurugram,5-10 Yrs,Not Disclosed Yet,"Python, Pyspark, Machine Learning, Ml, Statistics, Hive, Data Analytics, Supply Chain"
"Data Scientist, I",Antuit,Bengaluru,0-2 Yrs,Not Disclosed Yet,"Graphics, Computer Science, Automation, Machine Learning, Heavy Equipment, Genetics, Sensors, Data Mining"
Data Scientist | Pan India,Capgemini,Mumbai,4-9 Yrs,Not Disclosed Yet,"Natural Language Processing, Scikit-Learn, Numpy, Tensorflow, Computer Vision, Scipy, Gensim, Cnn"
Data Scientist,Pepsico,"Hyderabad, Gurugram",3-8 Yrs,Not Disclosed Yet,"Machine Learning, Ops, Data Science, Devops, Ml, Hive, Continuous Integration, Python"
Data Scientist-Artificial Intelligence,Ibm,Bengaluru,5-7 Yrs,Not Disclosed Yet,"Algorithms, Python, Data Analytics, Tableau, Ml, Hive, Data Analysis, Natural Language Processing"
Data Scientist - Gen Ai,Ericsson,Pune,2-10 Yrs,Not Disclosed Yet,"Automation, Data Analysis, Usage, Nosql, Spark, Machine Learning, Workflow, Data Processing"
Data Scientist- 14+ Years Experience,Larsen & Toubro (L&T),Bengaluru,14-18 Yrs,Not Disclosed Yet,"Sql, Python, Power Bi, Data Sets, Hadoop, Big Data, Adas, Tableau"
Data Scientist Generative Ai,Fractal Analytics,"Hybrid - Pune, Gurugram, Bengaluru",3-8 Yrs,Not Disclosed Yet,"Cloud Deployment, Python, Generative Ai, Natural Language Processing, Cloud Platforms, Gcp, Computer Vision, Aws"
Data Scientist,Infogain,"Hybrid - Noida, Gurugram",4-6 Yrs,Not Disclosed Yet,"Machine Learning, Aws, Python, Machine, Data"
Data Scientist | 6-9 Years | Pan India,Capgemini,Bengaluru,4-7 Yrs,Not Disclosed Yet,"Python, Natural Language Processing, Machine Learning, Deep Learning, Data Science, Gsm, Rf Engineering, Data Analysis"
Foreseer Ai- Data Scientist Iii,S&P Global Market Intelligence,"Hyderabad, Gurugram",8-13 Yrs,Not Disclosed Yet,"Aiml, Artificial Intelligence, Data Science, Ai Techniques, Ml, Continuous Integration, Python, Natural Language Processing"
"Data Scientist With Eda, Python, Sql And Business Analysis",Cognizant,Hyderabad,8-11 Yrs,Not Disclosed Yet,"Python, Eda, Data Analysis, Data Management, Modeling, Analytical, Data Manipulation, Query"
Data Scientist I,Bmc Software,Pune,4-9 Yrs,Not Disclosed Yet,"Data Science, Java, Azure, Scikit-Learn, Time-Series Modeling, Langchain, Fast Api, Anomaly Detection"
Data Scientist | 5 To 8 Years | Gurgaon | Noida,Capgemini,Gurugram,3-8 Yrs,Not Disclosed Yet,"Python, Machine Learning, Data Science, Computer Vision, Pytorch, Data Validation, Object Detection, Anomaly Detection"
Data Scientist,Arthya Tech Solutions,Bengaluru,6-11 Yrs,Not Disclosed Yet,"Pyspark, C++, Generative Ai, Javascript, Ml, Cnn, Rnn, Glm"
Data Scientist,Hero Fincorp,Gurugram,0-6 Yrs,Not Disclosed Yet,"Python, Data Transformation, Power Bi, Data Analysis, Data Visualization, Data Extraction, Data Analytics, Sql"
Data Scientist,Thomson Reuters,Hybrid - Bengaluru,1-4 Yrs,8-13 Lacs Pa,"Google Analytics, Sql, Large Language Model, Data Visualization, Python, Google Analytics Tags, Gtm, Generative Ai"
Data Scientist-Artificial Intelligence,Ibm,Bengaluru,3-7 Yrs,Not Disclosed Yet,"Python, Scikit-Learn, Tensorflow, Pytorch, Keras, Natural Language Processing, Neural Networks, Predictive"
Data Scientist,Siemens,"India, Bengaluru",4-9 Yrs,Not Disclosed Yet,"Python, Regulatory, Machine Learning, Deep Learning, Keras, Algorithms, C++, C"
Data Scientist - L3,Wipro,Bengaluru,3-5 Yrs,Not Disclosed Yet,"Team Management, Machine Learning, Deep Learning, Data Science, Ml, Python, Natural Language Processing, Scikit-Learn"
Data Scientist,Tata Digital,Bengaluru,3-5 Yrs,Not Disclosed Yet,"Computer Science, Git, Analytical, Machine Learning, Integration Testing, Data Collection, Forecasting, Monitoring"
Data Scientist-Artificial Intelligence,Ibm,Bengaluru,3-7 Yrs,Not Disclosed Yet,"Python, Scikit-Learn, Tensorflow, Pytorch, Keras, Kubernetes, Microsoft Azure, Cloud Platforms"
"Data Scientist, Google Play, Product",Google,Bengaluru,5-10 Yrs,Not Disclosed Yet,"Product Management, Prototype, Data Science, Coding, Machine Learning, Mathematics, Statistics, Analytics"
Data Scientist(Gen Ai Llm),Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",2-5 Yrs,Not Disclosed Yet,"Generative Ai, Llm, Python, Fine Tuning, Deployment, Model Development, Gen, Performance"
Growth Data Scientist,Moniepoint,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Not Disclosed Yet,"Computer Science, Statistical Programming, Product Engineering, Data Modeling, Machine Learning, Fmcg, Budgeting, Internship"
